Date,Close
12-Jul-17:01,21.87
12-Jul-17:02,19.96
12-Jul-17:03,21.81
12-Jul-17:04,21.83
12-Jul-17:05,19.82
12-Jul-17:06,20.4
12-Jul-17:07,21.29
12-Jul-17:08,19.32
12-Jul-17:09,19.82
12-Jul-17:10,20.38
12-Jul-17:11,19.45
12-Jul-17:12,21.99
12-Jul-17:13,20.41
12-Jul-17:14,20.82
12-Jul-17:15,20.01
12-Jul-17:16,19.09
12-Jul-17:17,20.04
12-Jul-17:18,20.81
12-Jul-17:19,21.2
12-Jul-17:20,20.06
12-Jul-17:21,20.8
12-Jul-17:22,20.89
12-Jul-17:23,19.24
12-Jul-17:24,20.35
13-Jul-17:01,20.3
13-Jul-17:02,21.04
13-Jul-17:03,20.14
13-Jul-17:04,20.45
13-Jul-17:05,19.43
13-Jul-17:06,21.34
13-Jul-17:07,20.47
13-Jul-17:08,20.35
13-Jul-17:09,21.82
13-Jul-17:10,19.24
13-Jul-17:11,21.36
13-Jul-17:12,19.15
13-Jul-17:13,19.45
13-Jul-17:14,19.92
13-Jul-17:15,21.47
13-Jul-17:16,20.12
13-Jul-17:17,21.84
13-Jul-17:18,21.09
13-Jul-17:19,20.5
13-Jul-17:20,19.1
13-Jul-17:21,21.53
13-Jul-17:22,19.86
13-Jul-17:23,21.88
13-Jul-17:24,19.34
14-Jul-17:01,19.49
14-Jul-17:02,19.82
14-Jul-17:03,19.59
14-Jul-17:04,19.63
14-Jul-17:05,19.17
14-Jul-17:06,21.38
14-Jul-17:07,19.78
14-Jul-17:08,20.01
14-Jul-17:09,20.39
14-Jul-17:10,21.48
14-Jul-17:11,19.75
14-Jul-17:12,21.52
14-Jul-17:13,19.95
14-Jul-17:14,21.87
14-Jul-17:15,19.58
14-Jul-17:16,19.03
14-Jul-17:17,20.11
14-Jul-17:18,19.75
14-Jul-17:19,21.59
14-Jul-17:20,20.04
14-Jul-17:21,20.64
14-Jul-17:22,20.68
14-Jul-17:23,19.67
14-Jul-17:24,20.92
15-Jul-17:01,20.63
15-Jul-17:02,20.41
15-Jul-17:03,21.68
15-Jul-17:04,20.36
15-Jul-17:05,20.36
15-Jul-17:06,20.46
15-Jul-17:07,21.14
15-Jul-17:08,19.9
15-Jul-17:09,20.38
15-Jul-17:10,20.41
15-Jul-17:11,20.63
15-Jul-17:12,20.39
15-Jul-17:13,20.34
15-Jul-17:14,20.08
15-Jul-17:15,21.33
15-Jul-17:16,19.65
15-Jul-17:17,20.25
15-Jul-17:18,19.46
15-Jul-17:19,19.43
15-Jul-17:20,21.74
15-Jul-17:21,20.58
15-Jul-17:22,20.03
15-Jul-17:23,19.28
15-Jul-17:24,20.67
16-Jul-17:01,19.3
16-Jul-17:02,21.2
16-Jul-17:03,20.25
16-Jul-17:04,21.08
16-Jul-17:05,19.58
16-Jul-17:06,20.1
16-Jul-17:07,21.79
16-Jul-17:08,20.06
16-Jul-17:09,20.79
16-Jul-17:10,21.02
16-Jul-17:11,19.32
16-Jul-17:12,19.95
16-Jul-17:13,20.62
16-Jul-17:14,21.27
16-Jul-17:15,21.25
16-Jul-17:16,19.44
16-Jul-17:17,21.23
16-Jul-17:18,20.66
16-Jul-17:19,19.76
16-Jul-17:20,20.33
16-Jul-17:21,19.74
16-Jul-17:22,20.69
16-Jul-17:23,20.23
16-Jul-17:24,20.28
17-Jul-17:01,20.88
17-Jul-17:02,21.47
17-Jul-17:03,20.04
17-Jul-17:04,19.26
17-Jul-17:05,19.7
17-Jul-17:06,19.99
17-Jul-17:07,19.04
17-Jul-17:08,21.11
17-Jul-17:09,20.5
17-Jul-17:10,20.54
17-Jul-17:11,21.91
17-Jul-17:12,19.04
17-Jul-17:13,20.79
17-Jul-17:14,21.18
17-Jul-17:15,19.96
17-Jul-17:16,19.83
17-Jul-17:17,21.65
17-Jul-17:18,19.27
17-Jul-17:19,20.06
17-Jul-17:20,20.03
17-Jul-17:21,19
17-Jul-17:22,21.38
17-Jul-17:23,20.62
17-Jul-17:24,21.63
18-Jul-17:01,19.24
18-Jul-17:02,19.58
18-Jul-17:03,21.72
18-Jul-17:04,21.9
18-Jul-17:05,20.08
18-Jul-17:06,20.14
18-Jul-17:07,20.52
18-Jul-17:08,20.57
18-Jul-17:09,19.09
18-Jul-17:10,19.04
18-Jul-17:11,20.32
18-Jul-17:12,20.27
18-Jul-17:13,19.92
18-Jul-17:14,20.7
18-Jul-17:15,21.32
18-Jul-17:16,20.04
18-Jul-17:17,19.53
18-Jul-17:18,21.86
18-Jul-17:19,19.98
18-Jul-17:20,21.99
18-Jul-17:21,21
18-Jul-17:22,20.85
18-Jul-17:23,20.96
18-Jul-17:24,21.01
19-Jul-17:01,20.81
19-Jul-17:02,21.33
19-Jul-17:03,20.46
19-Jul-17:04,20.66
19-Jul-17:05,19.62
19-Jul-17:06,20.36
19-Jul-17:07,20.69
19-Jul-17:08,20.61
19-Jul-17:09,20.89
19-Jul-17:10,20.09
19-Jul-17:11,20.97
19-Jul-17:12,20.73
19-Jul-17:13,20.48
19-Jul-17:14,20.31
19-Jul-17:15,21.49
19-Jul-17:16,19.96
19-Jul-17:17,20
19-Jul-17:18,20.07
19-Jul-17:19,20.82
19-Jul-17:20,19.72
19-Jul-17:21,20.17
19-Jul-17:22,20.29
19-Jul-17:23,21.89
19-Jul-17:24,20.9
